job_title,job_category,client_name,fee,description
【比較サイト】Webサイトの制作依頼,レスポンシブサイト制作,CJMパートナーズ　平尾,"200,000円~300,000円 / 固定",■ サイトの種類メディアサイト■ 依頼の目的・背景ウーバーや出前館などに掲載されているゴーストレストラン（バーチャルレストラン）に対してFC加盟を募集されている企業をまとめた比較サイトを作成考えています。細かい詳細はご連絡いただけると幸いです。■ 期待する効果・検索エンジンの上位に表示してアクセスを増やしたい■ ターゲット像・20代・30代・40代・50...
内科系クリニックのHPの新規製作,レスポンシブサイト制作,medico-consul,"50,000円~100,000円 / 固定",■ 依頼の目的・背景内科系のクリニックサイトの新規製作です。コーディングなし、デザインのみの依頼です。■ 期待する効果・アクセスUP・認知向上・問い合わせ向上・その他■ サイトの種類クリニック紹介■ ターゲット像・10代・20代・30代・40代・50代・60代・70代・男性・女性・その他■ ページ数1 ～ 5ページ■ ス...
自社スキンケア化粧品のWordPressによるECサイト（オンラインショプ）の制作,EC・通販ホームページ制作,okoniki,"200,000円~300,000円 / 固定",■ 依頼の目的・背景WordPressにおいて新規オンラインショップの制作の依頼です。この度、弊社のブランド統合でオンラインショップのリニューアルを行いたくご協力をお願い致します。以下に内容をまとめます。・イメージしている参考サイト→　https://www.orbis.co.jp/→エクセルにて概要お渡しします。・４ブランド（全17商品）の統合した内容・今後...
【コーディング】コーポレートサイト（静的）のHTMLコーディング,レスポンシブサイト制作,Dot Design Studio,"50,000円~100,000円 / 固定","■ 依頼の目的・背景当方のクライアント様のウェブサイトのリニューアルに伴うコーディングの依頼です。サーバアップ→公開までの一式の作業をお願いします。■ 開発の継続性今回のみ、開発をお願いいたします。■ 対応ページ数なし■ 用意してある素材画像(jpg,png)、テキスト、Xd■ 重視する点予算、納期、クオリティ、柔軟な対応、こまめな連絡、業務経験・知識、認..."
持続化補助金の申請サポートに慣れている方に沖縄のフォトスタジオページリニューアルをお願いしたいです。,EC・通販ホームページ制作,M.PHOTO.STUDIO,"500,000円~1,000,000円 / 固定",■ サイトの種類店舗サイト■ 依頼の目的・背景【 概要 】以前公募をさせて頂きましたが、小規模事業者持続化補助金を利用しての作成をと考えております。申請サポート・代行の経験がお有りで慣れている方を希望します。現在使用しているホームページのリメイクをお願いしますm(_ _)m作成方法はお任せします。現ホームページhttps://www.ishigaki-phot...
日用品制作会社のホームページ制作,CMS構築・WordPress制作・導入,cipoo,"200,000円~300,000円 / 固定",■ 依頼の目的・背景日用品を中心に扱う企業のホームページを新しくリニューアルしたく思っております。ワードプレスを使用して多言語サイト（英・中）対応制作となります。多言語サイト制作のご経験がある方が望ましいです。提案時に実績なども添付して頂けると助かります。■ 依頼内容複数ページに係る機能開発・改修■ 新規/既存既存サイトのカスタマイズ■ ページ数20
限定公開の仕事,携帯アプリ・モバイル開発,,"300,000円~500,000円 / 固定",(非公開オプションが設定されています。内容は詳細画面で確認できます)
クリエイター向けWebサービスの開発,Webシステム開発・プログラミング,株式会社Siremo,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景株式会社Siremoの金田（かなだ）と申します。「”作品”を作る個人・スモールチームが活躍できる社会を創り、世界の人々の心を豊かに」というビジョンを掲げてSiremo（シレモ）という会社を2022年1月から本格始動して、プロダクトの準備中です。個人・スモールチームのクリエイターさんのデジタル作品を、難しい専門用語や知識不要で簡単にファンの方に販売できる...
「NFTマーケットプレイスのアプリ化」iOS/Androidアプリ開発,携帯アプリ・モバイル開発,ntl株式会社,"500,000円~1,000,000円 / 固定",■ 依頼の目的・背景【 概要 】自社のNFTマーケットプレイスのアプリ化を検討しています。アプリは iOS および Android に対応するため、 flutter または React Native での開発を希望します。また、初期構築だけではなく、運用後も継続的にご依頼させていただきたいため、中長期で関わっていただける方ですと好ましいです。【...
PHP+Smartyでウェブページ（1ページ）制作,Webシステム開発・プログラミング,tokoukai,"20,000円~50,000円 / 固定",■ 依頼の目的・背景運営している会員サイトで、会報などの電子データ（PDF）を表組みでカタログ表示し、クリックしたらダウンロードできるページが必要となりました。既存システムがPHP+Smartyを用いていて認証情報を引き継ぎたいため、既存システムを壊さずPHP(v7.1)+Smart(v3.0.7)、新しく1ページを設計～リリースまでお願いしたいと思います。また、多くの会員も常に...
